StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q95,QID2_2,QID6,QID7,QID16,QID17,QID10,QID11,QID12,QID13,QID14,QID15,QID18,QID19,QID20,QID21,QID79,QID101,QID100,QID71,QID83,QID82,QID85,QID84,QID87,QID88,QID90,QID89,QID92,QID91,QID94,QID93,QID96,QID95,QID98,QID99,QID43,QID27,QID78,QID47,QID25,QID33,QID50,QID37,QID39,QID41,QID106,QID107,QID108,QID109,QID110,QID113,QID114,QID115,QID117,QID116,QID118,QID119,QID120,QID121,QID122,,Q98,QID52,QID63,QID105,Q135,Q136,Q138,,AmazonId,CAND,ED,TW,BI,HC,AB,GC,ML,NS,TC,CC,impED,impTW,impBI,impHC,impAB,impML,impNS,impTC,impCC,impGC,ResponseID,group,FB,SCO,QID17,Group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"University of California, San Diego

Consent to Act as a Research Subject

 

Description: Researchers at the University of California, San Diego are inviting you to participate in a research study on political preferences and voting behavior. Participation in this survey should take about 10 minutes. Your participation is voluntary.

 

Incentives and Costs: You will be paid $1.5 USD for completing this survey. There will be no cost to you for participating in this study.

 

Risks: Your participation in this study does not involve any risk to you beyond that of everyday life.

 

Confidentiality: Your Mechanical Turk Worker ID will be used to distribute payment to you but will not be stored with the research data we collect from you. Please be aware that your MTurk Worker ID can potentially be linked to information about you on your Amazon public profile page, depending on the settings you have for your Amazon profile. We will not be accessing any personally identifying information about you that you may have put on your Amazon public profile page.

 

Alternatives to Participation:

Your participation in this study is entirely voluntary. You may choose to withdraw at any time.

 

Withdrawal Without Consent: The PI may remove you from the study without your consent if the PI feels it is in your best interest or the best interest of the study. You may also be withdrawn from the study if you do not follow the instructions given you by the study personnel.

 

Contacts and Questions: If you have other questions or research-related problems, you can contact the researcher at 831-920-9681 or email at lid006@ucsd.edu.

 

You may also call the UCSD Human Research Protections Program Office at 858-246-HRPP (858-246-4777) to inquire about your rights as a research subject or to report research-related problems.

 

Consent: By agreeing to participate in this research, you confirm that you have read this consent information, are at least 18 years old, and provide your consent to participate. If you choose not to participate, the survey will end immediately. Please print or save a copy of this page for your records.",Let's start with some basic information about you: - What is your age?,To which gender identity do you most identify with?,Please specify your ethnicity:,In which state are you registered to vote?,"Highest education obtained (If you’re currently completing a degree, select that degree) :","1. In the case of a tied vote in the U.S. Senate, is the deciding vote cast by","2. A filibuster in the U.S. Senate can be used to prevent legislation from coming to a vote. Of the 100 U.S. senators, how many votes are needed to end a filibuster?",3. Do you happen to know which political party has a majority in the U.S. House of Representati,4. Which of the following rights is guaranteed by the First Amendment to the Constitution?,1. How many votes does a candidate need to win the Electoral College?,2. Can eligible voters vote by absentee ballot in your state?,3. Can eligible voters register online in your state?,"4. True or False: If you are registered to vote but forget your ID at a polling station, you are not allowed to vote.",1. Which presidential election 2020 candidate has run in an election prior to 2020?,"2. Which candidate wants to give all Americans a universal basic income of $1,000 per month?",1. Which one of the opinions on this page best agrees with your view on education?,"How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","2. Economic inequality in the United States has been steadily increasing since the 1980s. To combat a concentration of wealth at the top, some people are proposing a tax on the net worth of extremely wealthy individuals, rather than just on income.



What is your position on taxing the rich?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","3. In part to offset job losses from automation, some Americans have embraced the proposal of a “universal basic income”, – that every American should get a check from the federal government regardless of work status. Others don't support it and believe that there are better alternatives out there, such as raising minimum wage and increase earned income tax credit. 

 

Where would you place yourself on this issue?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","4. Some people feel there should be a government insurance plan which would cover all medical and hospital expenses. Others feel that medical expenses should be paid by individuals, and through private insurance plans, such as UnitedHealth, Kaiser and Anthem, or some other company paid plans.
Where would you place yourself on this scale?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?",5. Which one of the opinions on this page best agrees with your view on abortion legally?,"How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","6. Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","7. In recent years, many states have taken initiative by legalizing marijuana, reforming drug laws and sentencing guidelines, and winding down the “War on Drugs.” 
What is your stand on the issue of legalizing recreational marijuana?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","8. Some people believe that we should spend much less money for defense. Others feel that defense spending should be greatly increased. 

 

Where would you place yourself on this issue?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","9. Some people have suggested raising tariff against Chinese imports in order to protect American interests (job, economy, intellectual property, etc) and revive American manufacturing. Others say that tariff will only exacerbate foreign relation with China and hurt US economy. 

 

Where would you place yourself on this issue?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?","10. In recent years, climate change has emerged as a key issue. Many people view setting a price on carbon emissions (a carbon tax or cap-and-trade) as a cost-effective way for countries to reduce emissions, while others are concerned that it would increase energy prices for consumers, with poorer households being disproportionately affected. 



Where would you place yourself on this issue?","How important is the above issue to you on the scale of 1 to 5, 1 as the least important, 5 as the most important?",1. Which one of the opinions on this page best agrees with your view?,"2. Economic inequality in the United States has been steadily increasing since the 1980s. To combat a concentration of wealth at the top, some people are proposing a tax on the net worth of extremely wealthy individuals, rather than just on income.



What is your position on taxing the rich?","3. In part to offset job losses from automation, some Americans have embraced the proposal of a “universal basic income”, – that every American should get a check from the federal government regardless of work status. Others don't support it and believe that there are better alternatives out there, such as raising minimum wage and increase earned income tax credit. 

 

Where would you place yourself on this issue?","4. Some people feel there should be a government insurance plan which would cover all medical and hospital expenses. Others feel that medical expenses should be paid by individuals, and through private insurance plans, such as UnitedHealth, Kaiser and Anthem, or some other company paid plans.
Where would you place yourself on this scale?",5. Which one of the opinions on this page best agrees with your view on abortion legally?,"6. Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now?","7. In recent years, many states have taken initiative by legalizing marijuana, reforming drug laws and sentencing guidelines, and winding down the “War on Drugs.” 
What is your stand on the issue of legalizing recreational marijuana?","8. Some people believe that we should spend much less money for defense. Others feel that defense spending should be greatly increased. 



Where would you place yourself on this issue?","9. Some people have suggested raising tariff against Chinese imports in order to protect American interests (job, economy, intellectual property, etc) and revive American manufacturing. Others say that tariff will only exacerbate foreign relation with China and hurt US economy. 

 

Where would you place yourself on this issue?","10. In recent years, climate change has emerged as a key issue. Many people view setting a price on carbon emissions (a carbon tax or cap-and-trade) as a cost-effective way for countries to reduce emissions, while others are concerned that it would increase energy prices for consumers, with poorer households being disproportionately affected. 



Where would you place yourself on this issue?",1. Which type of coffee do you prefer most?,2. How often do you drink coffee?,3.  Where do you drink coffee most often?,4. For what reasons would you drink coffee? (Select all apply),5. What factors influence your choice of coffee shop/ cafe to make your purchases? (Select all apply),6. How often do you drink tea?,7. For what reasons would you drink tea? (Select all apply),8. Where do you typically enjoy your tea?,"9.  Do you agree with the following statement: 
""I am more of a coffee person than a tea person, and I would prefer coffee over tea.""",10. What drives you to a new cafe/tea shop? (Select all apply),11. Do you ever bring a reusable to-go cup/thermos to cafe/tea shop?,"12.  Approximately, how many cups of coffee per day do you consider a moderate intake in a balanced diet?","13. Approximately, how many cups of tea per day do you consider a moderate intake in a balanced diet?","14. When thinking about the health effects of coffee, please select the statements that you agree with (Select all apply)",15. What do you think about the demand of tea currently in the area you reside?,,Likelihood to Vote for the Recommended Candidate(s),"If you have voted in the 2020 election, which party/candidate did you vote for?","If you have voted in the 2020 primary, which party/candidate did you vote for?","If you have any comments or feedback, feel free to leave it here:","If you have voted in the 2020 election, which party/candidate did you vote for?","If you have voted in the 2020 primary, which party/candidate did you vote for?","If you have any comments or feedback, feel free to leave it here:",,AmazonId,CAND,ED,TW,BI,HC,AB,GC,ML,NS,TC,CC,impED,impTW,impBI,impHC,impAB,impML,impNS,impTC,impCC,impGC,ResponseID,group,,,"Highest education obtained (If you’re currently completing a degree, select that degree) :",group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID141""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID79""}","{""ImportId"":""QID101""}","{""ImportId"":""QID100""}","{""ImportId"":""QID71""}","{""ImportId"":""QID83""}","{""ImportId"":""QID82""}","{""ImportId"":""QID85""}","{""ImportId"":""QID84""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90""}","{""ImportId"":""QID89""}","{""ImportId"":""QID92""}","{""ImportId"":""QID91""}","{""ImportId"":""QID94""}","{""ImportId"":""QID93""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID43""}","{""ImportId"":""QID27""}","{""ImportId"":""QID78""}","{""ImportId"":""QID47""}","{""ImportId"":""QID25""}","{""ImportId"":""QID33""}","{""ImportId"":""QID50""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID117""}","{""ImportId"":""QID116""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}",,"{""ImportId"":""QID144_1""}","{""ImportId"":""QID52""}","{""ImportId"":""QID63""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID138_TEXT""}",,"{""ImportId"":""AmazonId""}","{""ImportId"":""CAND""}","{""ImportId"":""ED""}","{""ImportId"":""TW""}","{""ImportId"":""BI""}","{""ImportId"":""HC""}","{""ImportId"":""AB""}","{""ImportId"":""GC""}","{""ImportId"":""ML""}","{""ImportId"":""NS""}","{""ImportId"":""TC""}","{""ImportId"":""CC""}","{""ImportId"":""impED""}","{""ImportId"":""impTW""}","{""ImportId"":""impBI""}","{""ImportId"":""impHC""}","{""ImportId"":""impAB""}","{""ImportId"":""impML""}","{""ImportId"":""impNS""}","{""ImportId"":""impTC""}","{""ImportId"":""impCC""}","{""ImportId"":""impGC""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""group""}",,"{""ImportId"":""SC_5iqgyJXLGFAhSap""}","{""ImportId"":""QID17""}","{""ImportId"":""group""}"
1/19/21 10:35,1/19/21 10:37,0,173.48.176.154,100,146,1,1/19/21 10:37,R_2V8ykdpHIG4zpg7,,,,,42.39349365,-71.18360138,anonymous,EN,4,25,3,4,22,5,3,1,1,1,4,1,3,3,2,2,1,0.6,1,1,1,1,1,0.8,3,1,1,0.8,1,0.6,1,0.4,2,0.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,21,,,,,,AHKRGPN5D3I2G,None,,,,,,,,,,,,,,,,,,,,,R_2WUxFaKX6JhjNIZ,control,10,8,5,control
1/19/21 10:34,1/19/21 10:37,0,73.79.182.152,100,171,1,1/19/21 10:37,R_1FbajD1PhG6QuiY,,,,,40.32429504,-79.93170166,anonymous,EN,4,28,1,2,39,5,1,1,2,1,3,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,1,1,2,2,1,,,,,,,,,,,,,,,,,8,4,21,,,,,,A3VA5BS033GXU0,None,,,,,,,,,,,,,,,,,,,,,R_3fCNWILIc6d2EqW,control,6,7,5,control
1/19/21 10:36,1/19/21 10:38,0,66.176.215.114,100,134,1,1/19/21 10:38,R_2WUxFaKX6JhjNIZ,,,,,25.95620728,-80.18280029,anonymous,EN,4,29,1,3,10,6,1,2,2,1,3,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,"1,2,4,5,6",2,5,1,1,1,2,3,2,2,"1,8",3,,,,,,1,4,,,AHK0SXP6XD1ST,None,,,,,,,,,,,,,,,,,,,,,R_12Da01H0PdNvNa1,control,10,6,6,control
1/19/21 10:34,1/19/21 10:39,0,68.161.180.62,100,265,1,1/19/21 10:39,R_3fCNWILIc6d2EqW,,,,,40.76229858,-73.87239838,anonymous,EN,4,25,1,4,33,7,1,3,2,1,3,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,"1,2","3,7",2,"1,3",1,5,2,3,1,2,"9,5",3,,,,,,1,4,,,A38Z7Q3V5E2Q70,None,,,,,,,,,,,,,,,,,,,,,R_3rUlkkCZwXMI1X8,control,10,3,7,control
1/19/21 10:36,1/19/21 10:39,0,174.130.69.139,100,196,1,1/19/21 10:39,R_2PwjbONxjwGCZGB,,,,,41.31790161,-81.3470993,anonymous,EN,4,22,1,2,36,4,3,1,1,1,3,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,3,4,3,5,2,5,1,2,1,2,,,,,,,,,,,,,,,,,10,2,16,,,,,,A3KMKYVQCAOLZH,None,,,,,,,,,,,,,,,,,,,,,R_2uqCXTYeYX8GHhO,control,10,7,4,control
1/19/21 10:36,1/19/21 10:40,0,136.185.71.216,100,186,1,1/19/21 10:40,R_ThpoGJp8awEkF1L,,,,,20.00630188,77.00601196,anonymous,EN,4,29,1,4,15,6,1,3,1,1,1,1,1,1,3,3,1,0.6,1,0.6,2,0.6,3,1,3,0.2,3,0.6,2,0.6,2,0.6,1,0.2,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,NICE,,,,,A1RHT4O55JQC2C,None,,,,,,,,,,,,,,,,,,,,,R_1mRcEFlcU07WDpe,control,6,5,6,control
1/19/21 10:35,1/19/21 10:40,0,201.17.126.183,100,263,1,1/19/21 10:40,R_12Da01H0PdNvNa1,,,,,-22.92010498,-43.33070374,anonymous,EN,4,23,1,2,4,5,3,2,1,1,3,1,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,"2,3,4","3,7",2,3,1,1,"2,3",1,2,2,"8,3,5",2,,,,,,1,21,,,A2FN8VGGKZ8UZN,None,,,,,,,,,,,,,,,,,,,,,R_3OqeGqFD2co1Mu9,control,10,7,5,control
1/19/21 10:36,1/19/21 10:40,0,71.234.233.198,100,224,1,1/19/21 10:40,R_1JWqPPPQgpiqo0z,,,,,41.31860352,-72.93019867,anonymous,EN,4,29,1,1,53,5,3,1,1,1,3,2,2,3,2,4,2,1,2,1,2,1,2,1,2,0.6,4,0.8,1,0.6,1,0.6,2,0.6,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,21,,,,,,A140DTJHRHQM4F,None,,,,,,,,,,,,,,,,,,,,,R_1o6ESWJ9WOpRiGz,control,1,3,5,control
